action_date,action_date_fiscal_year,award_description,award_id,award_piid_ref,award_type,award_type_code,awarding_agency_code,awarding_agency_name,awarding_office_code,awarding_office_name,awarding_sub_agency_code,awarding_sub_agency_name,contract_award_unique_key,dollars_obligated,last_modified_date,naics_code,number_of_actions,parent_award_agency_id,parent_award_agency_name,plop_city,plop_congressional_district,plop_country_code,plop_country_name,plop_county,plop_state,plop_state_code,plop_zip,pop_end_date,pop_potential_end_date,pop_start_date,recipient_city,recipient_duns,recipient_name,recipient_zip_code,year,plop_zip_5,recipient_zip_code_5
2021-06-08 00:00:00,2021,"EXPERT REVIEW OF CONFIDENTIAL SUBMISSION 0099 (POST APPLICATION CONSERVATION (PACE) SUBMITTED BY CRS. THE TASK ORDER IS NOT TO EXCEED 60 HOURS OR $20,100.00 IN BILLABLE LABOR HOURS. THE REVIEW DUE DATE IS COB ON WEDNESDAY, JULY 7, 2021.",12645S18A0021,12FPC121F0112,BPA CALL,A,12,DEPARTMENT OF AGRICULTURE (USDA),12FPC1,FPAC BUS CNTR-ACQ DIV-OPS BRA-SEC 1,12D0,FARM PRODUCTION AND CONSERVATION BUSINESS CENTER,CONT_AWD_12FPC121F0112_12D0_12645S18A0021_12D2,20100.0,2021-06-08 15:29:34,541690,1.0,12D2,FARM SERVICE AGENCY,STARKVILLE,3.0,USA,UNITED STATES,OKTIBBEHA,MISSISSIPPI,MS,397596774,2021-07-07 00:00:00,2021-07-07 00:00:00,2021-06-08 00:00:00,STARKVILLE,116088191,COBLE KEITH H,397596774.0,2021,39759,39759
2021-05-10 00:00:00,2021,BUDGET & POSITION MANAGEMENT,1305M418ANAAA0005,1305M421FNAAA0052,BPA CALL,A,13,DEPARTMENT OF COMMERCE (DOC),1305M4,DEPT OF COMMERCE NOAA,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,CONT_AWD_1305M421FNAAA0052_1330_1305M418ANAAA0005_1330,499621.57,2021-05-12 14:11:32,541612,1.0,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,DUBLIN,12.0,USA,UNITED STATES,LAURENS,GEORGIA,GA,310400002,2022-05-09 00:00:00,2023-05-09 00:00:00,2021-05-10 00:00:00,DUBLIN,78750837,GOVSTRIVE LLC,310214244.0,2021,31040,31021
2021-05-03 00:00:00,2021,SERVICES FOR SENIOR BUDGET ANALYST,75D30120P08896,75D30120P08896,PURCHASE ORDER,B,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),75D301,CDC OFFICE OF ACQUISITION SERVICES,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,CONT_AWD_75D30120P08896_7523_-NONE-_-NONE-,-2000.0,2021-05-03 10:10:05,541612,1.0,7523,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),DULUTH,7.0,USA,UNITED STATES,GWINNETT,GEORGIA,GA,300974329,2020-12-31 00:00:00,2020-12-31 00:00:00,2020-07-20 15:27:50,DULUTH,879816684,SYNERGY AMERICA INC,300974329.0,2021,30097,30097
2021-05-10 00:00:00,2021,USDA NRCS CT ACEP-WRE ENVIRONMENTAL DATABASE SEARCHES,123C7818A0011,12FPC421F0042,BPA CALL,A,12,DEPARTMENT OF AGRICULTURE (USDA),12FPC4,FPAC BUS CNTR-ACQ DIV-OPS BRA-SEC 4,12D0,FARM PRODUCTION AND CONSERVATION BUSINESS CENTER,CONT_AWD_12FPC421F0042_12D0_123C7818A0011_12C3,16100.0,2021-05-10 14:09:03,541620,1.0,12C3,NATURAL RESOURCES CONSERVATION SERVICE,BIRMINGHAM,7.0,USA,UNITED STATES,JEFFERSON,ALABAMA,AL,352032228,2021-07-05 00:00:00,2021-07-05 00:00:00,2021-05-10 00:00:00,BIRMINGHAM,963004986,ESSNOVA SOLUTIONS INC,352031873.0,2021,35203,35203
2021-05-11 00:00:00,2021,STAFFING SUPPORT SERVICES FOR NEA-SCA/EX,19AQMM19D0120,19AQMM21F1904,DELIVERY ORDER,C,19,DEPARTMENT OF STATE (DOS),19AQMM,ACQUISITIONS - AQM MOMENTUM,1900,"STATE, DEPARTMENT OF",CONT_AWD_19AQMM21F1904_1900_19AQMM19D0120_1900,213680.0,2021-05-12 14:04:24,541611,1.0,1900,"STATE, DEPARTMENT OF",WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,205200101,2022-05-12 00:00:00,2024-05-12 00:00:00,2021-05-13 00:00:00,NEW TOWN,792184066,MEC ENERGY SERVICES LLC,587639563.0,2021,20520,58763
2021-06-21 00:00:00,2021,SLVFO TRAVEL MNGNT IMPL. DEV. REC. AMENT,140L1720P0016,140L1720P0016,PURCHASE ORDER,B,14,DEPARTMENT OF THE INTERIOR (DOI),140L17,COLORADO STATE OFFICE,1422,BUREAU OF LAND MANAGEMENT,CONT_AWD_140L1720P0016_1422_-NONE-_-NONE-,25000.0,2021-06-23 00:55:28,541611,1.0,1422,DEPARTMENT OF THE INTERIOR (DOI),BLANCA,3.0,USA,UNITED STATES,COSTILLA,COLORADO,CO,811230083,2024-10-31 00:00:00,2024-10-31 00:00:00,2020-05-21 00:00:00,LA JARA,962444498,ESPINOZA CULTURAL SERVICES LLC,81140.0,2021,81123,81140
2021-06-14 00:00:00,2021,DE-OBLIGATE FY 2016 FUNDS,HHSN271201600042C,HHSN271201600042C,DEFINITIVE CONTRACT,D,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),75N950,NATIONAL INSTITUTES OF HEALTH NIDA,7529,NATIONAL INSTITUTES OF HEALTH,CONT_AWD_HHSN271201600042C_7529_-NONE-_-NONE-,-537429.08,2021-06-14 12:27:49,541611,1.0,7529,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),BETHESDA,8.0,USA,UNITED STATES,MONTGOMERY,MARYLAND,MD,208920001,2020-09-25 00:00:00,2021-09-25 00:00:00,2016-09-23 00:00:00,BOWIE,58603631,BIZZELL GROUP LLC THE,207204691.0,2021,20892,20720
2021-06-08 00:00:00,2021,CALL #85 ORDER FOR U.S DEPARTMENT OF INTERIOR BUREAU OF INDIAN EDUCATION (BIE)COUNSELING SERVICES.,140D0420A0003,140D0421F0375,BPA CALL,A,14,DEPARTMENT OF THE INTERIOR (DOI),140D04,IBC ACQ SVCS DIRECTORATE (00004),1406,DEPARTMENTAL OFFICES,CONT_AWD_140D0421F0375_1406_140D0420A0003_1406,300990.0,2021-06-09 09:54:48,541611,1.0,1406,DEPARTMENTAL OFFICES,DAYTON,10.0,USA,UNITED STATES,MONTGOMERY,OHIO,OH,454311251,2022-06-07 00:00:00,2022-06-07 00:00:00,2021-06-08 00:00:00,DAYTON,788088594,LDSS INC,454311251.0,2021,45431,45431
2021-06-24 00:00:00,2021,FIRE SIMULATION ANALYSIS,140G0321P0182,140G0321P0182,PURCHASE ORDER,B,14,DEPARTMENT OF THE INTERIOR (DOI),140G03,OFFICE OF ACQUISITON  GRANTS,1434,US GEOLOGICAL SURVEY,CONT_AWD_140G0321P0182_1434_-NONE-_-NONE-,40000.0,2021-06-24 10:57:39,541620,1.0,1434,DEPARTMENT OF THE INTERIOR (DOI),MISSOULA,0.0,USA,UNITED STATES,MISSOULA,MONTANA,MT,598032470,2022-06-23 00:00:00,2022-06-23 00:00:00,2021-06-24 00:00:00,MISSOULA,138560268,PYROLOGIX LLC,598032470.0,2021,59803,59803
2021-05-20 00:00:00,2021,CAREER TRAINING CONCEPTS WITNESS MANAGEMENT PROGRAM COORDINATOR,GS02F001CA,15JA6519F00000005,DELIVERY ORDER,C,15,DEPARTMENT OF JUSTICE (DOJ),15JA65,U.S. ATTORNEYS OFFICE-OR (USA65),1501,"OFFICES, BOARDS AND DIVISIONS",CONT_AWD_15JA6519F00000005_1501_GS02F001CA_4732,69945.6,2021-05-20 16:13:24,541611,1.0,4732,FEDERAL ACQUISITION SERVICE,SNELLVILLE,4.0,USA,UNITED STATES,GWINNETT,GEORGIA,GA,300397023,2022-06-30 00:00:00,2024-06-30 00:00:00,2019-07-01 00:00:00,SNELLVILLE,72487721,CAREER TRAINING CONCEPTS INC,300397023.0,2021,30039,30039
2021-05-27 00:00:00,2021,"ON-SITE ASSESSMENT OF NVLAP LAB CODE 105007, VDACS METROLOGY LAB, 600 NORTH 5TH STREET, ROOM 162, RICHMOND, VA 23219",1333ND21PNB600236,1333ND21PNB600236,PURCHASE ORDER,B,13,DEPARTMENT OF COMMERCE (DOC),1333ND,DEPT OF COMMERCE NIST,1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,CONT_AWD_1333ND21PNB600236_1341_-NONE-_-NONE-,6066.26,2021-05-27 07:18:25,541690,1.0,1341,DEPARTMENT OF COMMERCE (DOC),RICHMOND,4.0,USA,UNITED STATES,RICHMOND CITY,VIRGINIA,VA,232192445,2021-09-30 00:00:00,2021-09-30 00:00:00,2021-05-27 00:00:00,CARYVILLE,968037452,BRUCE COX ENGINEERING CORPORATION,377143428.0,2021,23219,37714
2021-06-03 00:00:00,2021,"REVIEW THE CONSTRUCTION DOCUMENTS AND PERFORM A TOPOGRAPHIC SURVEY LOCATED AT THE SAN YSIDRO LPOE AT 720 EAST SAN YSIDRO BLVD, SAN DIEGO, CA 92173",47PK0921C0028,47PK0921C0028,DEFINITIVE CONTRACT,D,47,GENERAL SERVICES ADMINISTRATION (GSA),47PK09,PBS R9,4740,PUBLIC BUILDINGS SERVICE,CONT_AWD_47PK0921C0028_4740_-NONE-_-NONE-,33690.0,2021-06-03 15:58:28,541620,1.0,4740,GENERAL SERVICES ADMINISTRATION (GSA),SAN YSIDRO,51.0,USA,UNITED STATES,SAN DIEGO,CALIFORNIA,CA,921733101,2021-09-10 00:00:00,2021-09-10 00:00:00,2021-06-03 00:00:00,RIVERSIDE,79372050,OCS CONSTRUCTION SERVICES INC,925062506.0,2021,92173,92506
2021-06-09 00:00:00,2021,"CALL #41 CONSULTING SERVICES IN SUPPORT OF U.S. ENVIRONMENTAL PROTECTION AGENCY (EPA), OFFICE OF MISSION SUPPORT (OMS), HUMAN RESOURCES MANAGEMENT DIVISION (HRMD).",140D0420A0003,140D0420F0565,BPA CALL,A,14,DEPARTMENT OF THE INTERIOR (DOI),140D04,IBC ACQ SVCS DIRECTORATE (00004),1406,DEPARTMENTAL OFFICES,CONT_AWD_140D0420F0565_1406_140D0420A0003_1406,-48713.0,2021-06-09 09:57:08,541611,1.0,1406,DEPARTMENTAL OFFICES,WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,202400001,2021-09-01 00:00:00,2021-09-01 00:00:00,2020-09-02 00:00:00,DAYTON,788088594,LDSS INC,454311251.0,2021,20240,45431
2021-06-03 00:00:00,2021,MOD P00009 - ADD ADDITIONAL FUNDING FOR SCA WAGE INCREASE FOR SUPERFUND RECORDS AND INFORMATION MANAGEMENT SERVICES (RIMS),68HE0720D0001,68HE0720F0064,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE07,REGION 7 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0720F0064_6800_68HE0720D0001_6800,20384.0,2021-06-03 11:42:37,541611,1.0,6800,ENVIRONMENTAL PROTECTION AGENCY,LENEXA,3.0,USA,UNITED STATES,JOHNSON,KANSAS,KS,662199601,2022-03-01 00:00:00,2022-03-01 00:00:00,2020-03-02 00:00:00,LAUREL,141126925,CAPITOL ADVISORS OF TECHNOLOGY LLC,207231032.0,2021,66219,20723
2021-05-14 00:00:00,2021,"ENVIRONMENT SAFETY AND HEALTH OFFICE (ESHO). MODIFICATION P00007 IS TO INCREASE THE CEILING, INCORPORATE INCREMENTAL FUNDING, AND REVISE THE PRICING SHEET.",89243419AEE000001,89243419FEE000116,BPA CALL,A,89,DEPARTMENT OF ENERGY (DOE),892434,GOLDEN FIELD OFFICE,8900,"ENERGY, DEPARTMENT OF",CONT_AWD_89243419FEE000116_8900_89243419AEE000001_8900,7000.0,2021-06-24 12:20:38,541620,1.0,8900,"ENERGY, DEPARTMENT OF",GOLDEN,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,804010021,2021-07-31 00:00:00,2021-07-31 00:00:00,2019-07-31 00:00:00,LENOIR CITY,802853544,BOSTON GOVERNMENT SERVICES LLC,377713302.0,2021,80401,37771
2021-06-03 00:00:00,2021,BASE AND OPTION YEAR STERSI STERILIZER SERVICE ANS MAINTENANCE,GS10F0135T,36C24818F4253,DELIVERY ORDER,C,36,DEPARTMENT OF VETERANS AFFAIRS (VA),36C248,248-NETWORK CONTRACT OFFICE 8 (36C248),3600,"VETERANS AFFAIRS, DEPARTMENT OF",CONT_AWD_36C24818F4253_3600_GS10F0135T_4730,300651.24,2021-06-03 14:02:46,541614,1.0,4730,FEDERAL ACQUISITION SERVICE,TAMPA,14.0,USA,UNITED STATES,HILLSBOROUGH,FLORIDA,FL,336121900,2022-06-29 00:00:00,2023-06-29 00:00:00,2018-07-01 00:00:00,BRYAN,44771756,SUSTAINMENT TECHNOLOGIES LLC,778022738.0,2021,33612,77802
2021-05-18 00:00:00,2021,"ENTERPRISEWIDE (EWC) ONSITE NONPERSONAL CLERICAL, SECRETARIAL AND/OR ADMINISTRATIVE ASSISTANT SUPPORT SERVICES FOR NUCLEAR REGULATORY COMMISSION TTC.",NRCHQ4015E0004,NRCHQ8415T0001,DELIVERY ORDER,C,31,NUCLEAR REGULATORY COMMISSION (NRC),313100,NUCLEAR REGULATORY COMMISSION,3100,NUCLEAR REGULATORY COMMISSION,CONT_AWD_NRCHQ8415T0001_3100_NRCHQ4015E0004_3100,7000.0,2021-05-18 16:01:26,541611,1.0,3100,NUCLEAR REGULATORY COMMISSION,CHATTANOOGA,3.0,USA,UNITED STATES,HAMILTON,TENNESSEE,TN,374115677,2021-08-31 00:00:00,2021-08-31 00:00:00,2015-07-01 00:00:00,MANASSAS,4838468,NAVAR INC,201092316.0,2021,37411,20109
2021-06-11 00:00:00,2021,ADMINISTRATIVE ASSISTANT II (480 HRS * $50.16),693JJ418A000001,693JJ420F000024,BPA CALL,A,69,DEPARTMENT OF TRANSPORTATION (DOT),693JJ4,693JJ4 OFFICE OF ACQUISITION MGT,6953,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,CONT_AWD_693JJ420F000024_6953_693JJ418A000001_6953,24076.8,2021-06-11 11:51:37,541611,1.0,6953,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,205900001,2021-09-28 00:00:00,2021-09-28 00:00:00,2020-03-24 00:00:00,ALEXANDRIA,13103287,FEDERAL INTERGRATED SYSTEMS CORP,223155755.0,2021,20590,22315
2021-05-11 00:00:00,2021,STAFFING SERVICES FOR THE WASHINGTON DC METRO AREA,SAQMMA16D0022,SAQMMA16F1923,DELIVERY ORDER,C,19,DEPARTMENT OF STATE (DOS),19AQMM,ACQUISITIONS - AQM MOMENTUM,1900,"STATE, DEPARTMENT OF",CONT_AWD_SAQMMA16F1923_1900_SAQMMA16D0022_1900,22412.0,2021-05-12 14:06:09,541611,1.0,1900,"STATE, DEPARTMENT OF",WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,200010001,2021-07-31 00:00:00,2021-07-31 00:00:00,2016-05-06 00:00:00,COLUMBIA,126658892,KENJYA-TRUSANT GROUP LLC THE,210455156.0,2021,20001,21045
2021-05-03 00:00:00,2021,SENIOR PROGRAM ANALYST,75D30121C10927,75D30121C10927,DEFINITIVE CONTRACT,D,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),75D301,CDC OFFICE OF ACQUISITION SERVICES,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,CONT_AWD_75D30121C10927_7523_-NONE-_-NONE-,133488.0,2021-05-03 09:04:24,541612,1.0,7523,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),CINCINNATI,2.0,USA,UNITED STATES,HAMILTON,OHIO,OH,452261922,2022-05-02 00:00:00,2024-05-02 00:00:00,2021-05-03 09:04:20,DULUTH,879816684,SYNERGY AMERICA INC,300974329.0,2021,45226,30097
2021-05-30 00:00:00,2021,ONE MONTH'S LABOR AND ODCS,1331L519P13350028,1331L519P13350028,PURCHASE ORDER,B,13,DEPARTMENT OF COMMERCE (DOC),1331L5,DEPT OF COMMERCE ESO,1301,OFFICE OF THE SECRETARY,CONT_AWD_1331L519P13350028_1301_-NONE-_-NONE-,-2452.61,2021-05-30 12:19:59,541611,1.0,1301,DEPARTMENT OF COMMERCE (DOC),WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,202300001,2019-02-04 00:00:00,2019-05-03 00:00:00,2018-12-31 00:00:00,OXON HILL,7532588,GUARDIANS OF HONOR LLC,207454219.0,2021,20230,20745
2021-06-03 00:00:00,2021,CA-SAN DIEGO BAY-CROSS EVALUATION,140F0119P0258,140F0119P0258,PURCHASE ORDER,B,14,DEPARTMENT OF THE INTERIOR (DOI),140F01,FWS PACIFIC REGIONAL OFFICE,1448,U.S. FISH AND WILDLIFE SERVICE,CONT_AWD_140F0119P0258_1448_-NONE-_-NONE-,49890.0,2021-06-03 11:20:45,541620,1.0,1448,DEPARTMENT OF THE INTERIOR (DOI),CHULA VISTA,51.0,USA,UNITED STATES,SAN DIEGO,CALIFORNIA,CA,919101001,2022-09-30 00:00:00,2024-09-30 00:00:00,2019-09-16 00:00:00,EL CAJON,131397437,JAMES MARSHALL CONSULTING INC,920208130.0,2021,91910,92020
2021-06-04 00:00:00,2021,DISASTER RECOVERY SUPPORT FOR EDA CLOSEOUT,1331L518A13250003,1331L519F13250451,BPA CALL,A,13,DEPARTMENT OF COMMERCE (DOC),1331L5,DEPT OF COMMERCE ESO,1301,OFFICE OF THE SECRETARY,CONT_AWD_1331L519F13250451_1301_1331L518A13250003_1301,-46083.78,2021-06-04 15:00:31,541611,1.0,1301,OFFICE OF THE SECRETARY,WASHINGTON,98.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,202300001,2019-08-17 00:00:00,2020-02-17 00:00:00,2019-06-11 00:00:00,ALEXANDRIA,13735032,J&M GLOBAL SOLUTIONS LLC,223142657.0,2021,20230,22314
2021-05-30 00:00:00,2021,EXERCISE OPTION PERIOD 3 - 70RNPP18FR0000025,GS02F0092T,70RNPP18FR0000025,DELIVERY ORDER,C,70,DEPARTMENT OF HOMELAND SECURITY (DHS),70RCSA,CISA  ACQ DIV,7001,OFFICE OF PROCUREMENT OPERATIONS,CONT_AWD_70RNPP18FR0000025_7001_GS02F0092T_4730,203788.88,2021-05-30 15:16:06,541612,1.0,4730,FEDERAL ACQUISITION SERVICE,FALLS CHURCH,11.0,USA,UNITED STATES,FAIRFAX,VIRGINIA,VA,220424568,2022-05-31 00:00:00,2022-05-31 00:00:00,2018-06-01 00:00:00,FALLS CHURCH,38798468,ECONOMIC SYSTEMS INC,220424568.0,2021,22042,22042
