,action_date,action_date_fiscal_year,award_description,award_id,award_piid_ref,award_type,award_type_code,awarding_agency_code,awarding_agency_name,awarding_office_code,awarding_office_name,awarding_sub_agency_code,awarding_sub_agency_name,contract_award_unique_key,dollars_obligated,last_modified_date,naics_code,naics_description,number_of_actions,parent_award_agency_id,parent_award_agency_name,plop_city,plop_congressional_district,plop_country_code,plop_country_name,plop_county,plop_state,plop_state_code,plop_zip,pop_end_date,pop_potential_end_date,pop_start_date,recipient_city,recipient_duns,recipient_name,recipient_zip_code,year,plop_zip_5,recipient_zip_code_5
11088,2019-08-20 00:00:00,2019,NATIONAL AQUATIC RESOURCE SURVEYS: MICROCYSTINS AND CYLINDROSPERMOPSIN IMMUNOASSAYS,EPC16008,0004,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0C,CINCINNATI PROC OPS DIVISION (CPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_0004_6800_EPC16008_6800,102550.0,2019-08-20 08:17:26,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,TRAVERSE CITY,1.0,USA,UNITED STATES,GRAND TRAVERSE,MICHIGAN,MI,496863458,2021-05-30 00:00:00,2021-05-30 00:00:00,2019-08-20 00:00:00,TRAVERSE CITY,800884181,GREAT LAKES ENVIRONMENTAL CENTER INC,496863458,2019,49686,49686
11305,2019-12-20 00:00:00,2020,EMERGENCY RESPONSE TRAINING AND GUIDANCE,68HERC19A0001,68HERC19F0204,BPA CALL,A,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERC,CINCINNATI ACQUISITION DIV (CAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HERC19F0204_6800_68HERC19A0001_6800,28503.91,2020-07-07 17:27:05,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SANDWICH,9.0,USA,UNITED STATES,BARNSTABLE,MASSACHUSETTS,MA,025635301,2020-07-01 00:00:00,2020-07-01 00:00:00,2019-06-28 00:00:00,SANDWICH,618387484,HORSLEY WITTEN GROUP INC,025635301,2019,02563,02563
12244,2019-03-11 00:00:00,2019,IGF::OT::IGF ABILITY TO PAY/FINANCIAL ASSURANCE OPTION YEAR 1 MOD 2,EPS91601,9024,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE09,REGION 9 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_9024_6800_EPS91601_6800,-42771.22,2019-03-11 19:35:08,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SAN FRANCISCO,12.0,USA,UNITED STATES,SAN FRANCISCO,CALIFORNIA,CA,941053920,2018-08-31 00:00:00,2018-08-31 00:00:00,2019-03-11 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2019,94105,80228
12672,2019-03-05 00:00:00,2019,SOP REVIEW FOR AUDIT PREPARATION,ING17PC00081,140G0219F0089,DELIVERY ORDER,C,14,DEPARTMENT OF THE INTERIOR (DOI),140G02,OFC OF ACQUISITION  GRANTS-DENVER,1434,US GEOLOGICAL SURVEY,CONT_AWD_140G0219F0089_1434_ING17PC00081_1434,7455.0,2019-03-05 17:29:26,541614,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",1,1434,US GEOLOGICAL SURVEY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802154748,2019-07-31 00:00:00,2019-07-31 00:00:00,2019-03-05 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2019,80215,80215
13374,2020-06-15 00:00:00,2020,"ABBREVIATED PRP SEARCHES SILVER BOW CREEK/BUTTE SITE  WEST OF MONTANA TECH, SILVER BOW COUNTY, MONTANA SSID 0822, OU #13 WESTSIDE SOILS",EPS91601,68HE0819F0033,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE08,REGION 8 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0819F0033_6800_EPS91601_6800,-11441.28,2020-06-15 16:40:09,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,DENVER,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802280005,2020-06-12 00:00:00,2020-07-15 00:00:00,2019-04-25 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,80228,80228
14635,2019-09-04 00:00:00,2019,TASK ORDER 1 UNDER THE WVDP PROBABILISTIC PERFORMANCE ASSESSMENT,89303319DEM000012,89303319FEM400071,DELIVERY ORDER,C,89,DEPARTMENT OF ENERGY (DOE),893033,EM-ENVIRONMENTAL MGMT CON BUS CTR,8900,"ENERGY, DEPARTMENT OF",CONT_AWD_89303319FEM400071_8900_89303319DEM000012_8900,832000.0,2019-09-04 14:20:27,541620,ENVIRONMENTAL CONSULTING SERVICES,1,8900,"ENERGY, DEPARTMENT OF",WEST VALLEY,23.0,USA,UNITED STATES,CATTARAUGUS,NEW YORK,NY,141710004,2020-12-16 00:00:00,2020-12-16 00:00:00,2019-09-04 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2019,14171,80215
14697,2019-06-05 00:00:00,2019,PENNSYLVANIA WATER EMERGENCY RESPONSE FUNCTIONAL EXERCISE,EPBPA13C0002,EPB18C00007,BPA CALL,A,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERC,CINCINNATI ACQUISITION DIV (CAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_EPB18C00007_6800_EPBPA13C0002_6800,-3043.74,2019-06-05 15:59:31,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,WASHINGTON,0.0,USA,UNITED STATES,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,204600002,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-06-05 00:00:00,SANDWICH,618387484,HORSLEY WITTEN GROUP INC,025635301,2019,20460,02563
14729,2018-06-04 00:00:00,2018,"WATER/WASTEWATER AGENCY RESPONSE NETWORK (WARN), WATER INCIDENT INFORMATION RESOURCE (WIIR) AND DROUGHT SUPPORT",EPBPA13C0002,EPB17C00018,BPA CALL,A,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0C,CINCINNATI PROC OPS DIVISION (CPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_EPB17C00018_6800_EPBPA13C0002_6800,-20680.79,2018-06-07 09:51:53,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SANDWICH,9.0,USA,UNITED STATES,BARNSTABLE,MASSACHUSETTS,MA,025635301,2018-03-21 00:00:00,2018-03-21 00:00:00,2018-06-04 00:00:00,SANDWICH,618387484,HORSLEY WITTEN GROUP INC,025635301,2018,02563,02563
14737,2019-03-27 00:00:00,2019,IGF:OT:IGF MODIFICATION TO EXTEND THE POP.,GS10F0396P,47QFWA18F0025,DELIVERY ORDER,C,47,GENERAL SERVICES ADMINISTRATION (GSA),47QFWA,GSA FAS AAS REGION 7,4732,FEDERAL ACQUISITION SERVICE,CONT_AWD_47QFWA18F0025_4732_GS10F0396P_4730,11459.92,2019-03-27 14:11:10,541620,ENVIRONMENTAL CONSULTING SERVICES,1,4730,FEDERAL ACQUISITION SERVICE,JBSA LACKLAND,20.0,USA,UNITED STATES,BEXAR,TEXAS,TX,782369853,2019-07-31 00:00:00,2019-07-31 00:00:00,2018-07-23 00:00:00,TUCSON,148927247,STATISTICAL RESEARCH INC,857161615,2019,78236,85716
14884,2020-11-03 00:00:00,2021,OBTAIN TECHNICAL BASIS FOR GUIDANCE ON SURVEYS FOR SUBSURFACE CONTAMINANTS.,47QRAA20D002W,31310020F0061,DELIVERY ORDER,C,31,NUCLEAR REGULATORY COMMISSION (NRC),313100,NUCLEAR REGULATORY COMMISSION,3100,NUCLEAR REGULATORY COMMISSION,CONT_AWD_31310020F0061_3100_47QRAA20D002W_4732,40000.0,2021-01-24 18:21:14,541620,ENVIRONMENTAL CONSULTING SERVICES,1,4732,FEDERAL ACQUISITION SERVICE,ROCKVILLE,8.0,USA,UNITED STATES,MONTGOMERY,MARYLAND,MD,208522746,2021-09-30 00:00:00,2022-09-30 00:00:00,2020-06-09 00:00:00,ARLINGTON,71167910,S C & A INC,222015411,2020,20852,22201
14896,2018-09-12 00:00:00,2018,IGF::CL::IGF  2018 NRMRL LMMD&WSD LABORATORY COMPETENCY ASSESSMENTS,EPC18007,68HE0C18F0846,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0C,CINCINNATI PROC OPS DIVISION (CPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0C18F0846_6800_EPC18007_6800,2000.0,2018-09-12 16:35:12,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802154748,2018-11-07 00:00:00,2018-11-07 00:00:00,2018-09-12 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2018,80215,80215
